destination_continent,destination_name,origin_name,population,destination_lat,destination_lon,origin_lat,origin_lon
Africa,Madagascar,Comoros,"10,953",-20,47,-12.166667,44.25
Africa,Madagascar,France,"8,950",-20,47,46,2
Africa,Madagascar,India,"1,581",-20,47,20,77
Africa,Malawi,Burundi,"5,250",-13.5,34,-3.5,30
Africa,Malawi,Cook Islands,"1,395",-13.5,34,-16.083333,-161.583333
Africa,Malawi,The Democratic Republic of the Congo,"2,210",-13.5,34,0,25
Africa,Malawi,India,"2,390",-13.5,34,20,77
Africa,Malawi,Mozambique,"54,183",-13.5,34,-18.25,35
Africa,Malawi,Rwanda,"4,576",-13.5,34,-2,30
Africa,Malawi,Somalia,54,-13.5,34,6,48
Africa,Malawi,South Africa,"8,174",-13.5,34,-30,26
Africa,Malawi,United Kingdom,"1,460",-13.5,34,54,-4
Africa,Malawi,United Republic of Tanzania,"9,507",-13.5,34,-6,35
Africa,Malawi,Zambia,"42,362",-13.5,34,-15,30
Africa,Malawi,Zimbabwe,"36,753",-13.5,34,-19,29
Africa,Mauritius,Bangladesh,"8,327",-20.3,57.583333,24,90
Africa,Mauritius,Belgium,118,-20.3,57.583333,50.833333,4
Africa,Mauritius,Cape Verde,36,-20.3,57.583333,16,-24
Africa,Mauritius,China,"2,951",-20.3,57.583333,35,105
Africa,Mauritius,Hong Kong,23,-20.3,57.583333,22.25,114.166667
Africa,Mauritius,France,"1,505",-20.3,57.583333,46,2
Africa,Mauritius,Germany,136,-20.3,57.583333,51.5,10.5
Africa,Mauritius,India,"8,651",-20.3,57.583333,20,77
Africa,Mauritius,Ireland,50,-20.3,57.583333,53,-8
Africa,Mauritius,Italy,146,-20.3,57.583333,42.833333,12.833333
Africa,Mauritius,Japan,9,-20.3,57.583333,36,138
Africa,Mauritius,Madagascar,"2,277",-20.3,57.583333,-20,47
Africa,Mauritius,Malaysia,61,-20.3,57.583333,2.5,112.5
Africa,Mauritius,Pakistan,187,-20.3,57.583333,30,70
Africa,Mauritius,Russian Federation,49,-20.3,57.583333,60,100
Africa,Mauritius,Seychelles,124,-20.3,57.583333,-4.583333,55.666667
Africa,Mauritius,South Africa,622,-20.3,57.583333,-30,26
Africa,Mauritius,Spain,27,-20.3,57.583333,40,-4
Africa,Mauritius,Sri Lanka,"1,126",-20.3,57.583333,7,81
Africa,Mauritius,Switzerland,105,-20.3,57.583333,47,8
Africa,Mauritius,United Kingdom,454,-20.3,57.583333,54,-4
Africa,Mauritius,United States,49,-20.3,57.583333,39.828175,-98.5795
Africa,Mayotte,Comoros,"59,811",-12.833333,45.166667,-12.166667,44.25
Africa,Mayotte,France,"10,050",-12.833333,45.166667,46,2
Africa,Mayotte,Madagascar,"5,535",-12.833333,45.166667,-20,47
Africa,Mozambique,Cambodia,"6,776",-18.25,35,13,105
Africa,Mozambique,The Democratic Republic of the Congo,"2,337",-18.25,35,0,25
Africa,Mozambique,India,"2,434",-18.25,35,20,77
Africa,Mozambique,Lesotho,"7,840",-18.25,35,-29.5,28.25
Africa,Mozambique,Malawi,"77,488",-18.25,35,-13.5,34
Africa,Mozambique,Pakistan,"1,282",-18.25,35,30,70
Africa,Mozambique,Portugal,"4,420",-18.25,35,39.5,-8
Africa,Mozambique,South Africa,"8,897",-18.25,35,-30,26
Africa,Mozambique,United Republic of Tanzania,"7,652",-18.25,35,-6,35
Africa,Mozambique,Zambia,"5,943",-18.25,35,-15,30
Africa,Mozambique,Zimbabwe,"25,429",-18.25,35,-19,29
Africa,R_union,Comoros,"2,215",-21.1,55.6,-12.166667,44.25
Africa,R_union,France,"84,056",-21.1,55.6,46,2
Africa,R_union,Madagascar,"16,763",-21.1,55.6,-20,47
Africa,R_union,Mauritius,"5,059",-21.1,55.6,-20.3,57.583333
Africa,R_union,Mayotte,"6,507",-21.1,55.6,-12.833333,45.166667
Africa,Rwanda,Burundi,"64,501",-2,30,-3.5,30
Africa,Rwanda,The Democratic Republic of the Congo,"230,622",-2,30,0,25
Africa,Rwanda,Kenya,"2,581",-2,30,1,38
Africa,Rwanda,Uganda,"92,195",-2,30,2,33
Africa,Rwanda,United Republic of Tanzania,"42,776",-2,30,-6,35
Africa,Seychelles,Australia,52,-4.583333,55.666667,-25,135
Africa,Seychelles,Bangladesh,221,-4.583333,55.666667,24,90
Africa,Seychelles,Belgium,38,-4.583333,55.666667,50.833333,4
Africa,Seychelles,China,512,-4.583333,55.666667,35,105
Africa,Seychelles,Curacao,43,-4.583333,55.666667,12.166667,-69
Africa,Seychelles,France,240,-4.583333,55.666667,46,2
Africa,Seychelles,Germany,85,-4.583333,55.666667,51.5,10.5
Africa,Seychelles,India,"6,489",-4.583333,55.666667,20,77
Africa,Seychelles,Indonesia,142,-4.583333,55.666667,-5,120
Africa,Seychelles,Italy,122,-4.583333,55.666667,42.833333,12.833333
Africa,Seychelles,Kenya,411,-4.583333,55.666667,1,38
Africa,Seychelles,Madagascar,804,-4.583333,55.666667,-20,47
Africa,Seychelles,Maldives,38,-4.583333,55.666667,3.2,73
